original_index,Individual,Phase,Round,Puzzler,Cohort,Team_ID,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined,EDA_tonic_power,EDA_phasic_power,EDA_phasic_tonic_ratio,EDA_rolling_slope,EDA_phasic_rolling_slope,EDA_first_half_mean,EDA_second_half_mean,EDA_half_diff,EDA_phasic_peak_count_raw,HR_rolling_slope,HR_first_half_mean,HR_second_half_mean,HR_half_diff,HR_diff_rmssd_proxy,HR_HF_power,HR_LF_HF_ratio,TEMP_rolling_slope,TEMP_half_diff,TEMP_initial_slope,TEMP_overall_slope
0,1,phase3,round_3,1,D1_4,D1_4_Team10,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,9.374129523967146e-07,2.2847559930776883e-07,0.24372993644222402,0.0031933022154317613,-0.0005020291943398135,0.17837960462137328,0.18331224625250903,0.004932641631135742,4,4.206516666666656,72.38809523809523,84.93965986394558,12.551564625850347,0.3224627925198922,0.0010943283490316496,23.40850033767097,0.018966666666657344,-0.10784380305602781,-0.00016934321776425421,-0.00024328009613886053
1,1,phase2,round_3,1,D1_4,D1_4_Team10,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.5146886085747225e-06,4.5015226532682433e-07,0.29719129250625603,0.0010228692460528958,-0.0003154539673408898,0.16842819308320095,0.1712715762092744,0.002843383126073462,3,-0.4850833333333409,77.89044585987261,75.19101910828024,-2.6994267515923696,0.12617245665315152,0.00038525394871863014,20.378015128573566,0.028383333333335512,0.06133757961783459,0.0003948332436326618,0.00014858438644071376
2,1,phase1,round_3,1,D1_4,D1_4_Team10,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,9.87014453885588e-07,2.7711430734473614e-07,0.2807601309725688,6.041686618415779e-05,-0.0005043401388167528,0.1660518911657226,0.16652165645101158,0.00046976528528897,3,-0.3590500000000206,78.86738461538461,77.48503816793894,-1.38234644744567,0.2139653099129711,0.0004569437906340289,56.70705719649425,-0.06246666666667535,-0.12120153550863222,-0.00020347575478749035,-0.00022328613655420607
3,1,phase3,round_2,1,D1_4,D1_4_Team10,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,7.70479639576804e-06,5.948255380734014e-07,0.0772019801068484,-0.0015823495116679008,-0.00022165828496367737,0.16177739063146682,0.15706159245073953,-0.0047157981807272875,3,1.7331833333333404,83.12906666666667,83.01867549668874,-0.1103911699779303,0.31846611541366,0.001426265335793478,7.996837223737745,0.22055833333333447,0.6067661691542305,-0.00033983228875505766,0.0009098617170022555
4,1,phase2,round_2,1,D1_4,D1_4_Team10,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,6.279904791171548e-06,9.288957504958434e-07,0.147915578561272,0.0038398509710051596,-0.00029996951516390885,0.14628549140334474,0.15579625648684367,0.009510765083498934,6,-1.7098666666666644,74.257625,70.30487500000001,-3.9527499999999947,0.1560001607586987,0.0006852765253641915,26.09520875968063,-0.0705500000000023,-0.20090624999999562,-0.00016795430476227252,-0.0002862440902673987
5,1,phase1,round_2,1,D1_4,D1_4_Team10,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,5.050118805344953e-07,2.5613890860679537e-07,0.5071938274713511,0.0006139238214139975,-0.00019247170009459576,0.13705870628976757,0.13751138035077412,0.00045267406100654717,4,-4.052033333333326,88.19086092715231,82.58217105263158,-5.608689874520735,0.49861596524249197,0.0011500011846013135,48.322920910531096,0.0876000000000008,0.11507438016529647,0.00026545599749991107,0.00041841805406971696
6,1,phase3,round_4,1,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002541117866415427,0.0001998925709037282,0.07866324248300309,0.19280414841538532,-0.00043683497441035236,0.27400561261345735,0.8275287280604735,0.5535231154470162,10,0.024333333333339105,66.01733766233765,64.71798701298701,-1.299350649350643,0.1847182906632081,0.0003679364392490502,74.97614194115253,0.04725000000000135,0.09943316003284153,0.0003152832514453173,0.0002169467288538733
7,1,phase2,round_4,1,D1_4,D1_4_Team10,0.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0424516289964184e-06,1.9127431374490177e-06,0.9364937266048575,0.0005840458150299511,-0.00036799042665672867,0.1878264223759286,0.1886379532852037,0.0008115309092751044,5,2.447716666666671,72.1143949044586,80.94310126582279,8.828706361364183,0.24571033124185246,0.0008359887725711066,36.962682961618526,-0.010783333333332588,0.011047619047623414,0.0005812600913209615,-3.4294374263035027e-06
8,1,phase1,round_4,1,D1_4,D1_4_Team10,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,9.071952306992745e-07,2.995608522740205e-07,0.3302054972699936,0.0013606003829923382,-0.0003572858377232417,0.1874690043563396,0.19152075990691653,0.004051755550576935,4,-1.8712999999999995,73.40464052287581,67.98692810457516,-5.417712418300653,0.17138586509423187,0.0008599210272969309,17.4657597382051,0.030699999999996147,0.08018427195405664,0.0002052813416899364,0.00010087613157022326
9,1,phase3,round_1,1,D1_4,D1_4_Team10,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,5.954633222422919e-07,1.609376391349443e-07,0.27027296749179014,0.0007224793354852425,-0.00024158791980544026,0.12764014965129927,0.12929278210404413,0.0016526324527448566,3,-2.57658333333333,81.5681045751634,74.215,-7.3531045751634,0.18823223036722375,0.0005282846245102965,38.34832134030941,-0.20786666666666737,-0.5626254709311347,-0.00011430754006148966,-0.0008540532462993722
