original_index,Individual,Phase,Round,Puzzler,Cohort,Team_ID,Frustrated,upset,hostile,alert,ashamed,inspired,nervous,attentive,afraid,active,determined,EDA_tonic_power,EDA_phasic_power,EDA_phasic_tonic_ratio,EDA_rolling_slope,EDA_phasic_rolling_slope,EDA_first_half_mean,EDA_second_half_mean,EDA_half_diff,EDA_phasic_peak_count_raw,HR_rolling_slope,HR_first_half_mean,HR_second_half_mean,HR_half_diff,HR_diff_rmssd_proxy,HR_HF_power,HR_LF_HF_ratio,TEMP_rolling_slope,TEMP_half_diff,TEMP_initial_slope,TEMP_overall_slope
0,1,phase3,round_3,1,D1_4,D1_4_Team10,2.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,9.374129524516929e-07,2.284755993337296e-07,0.24372993645562357,0.003193302215431791,-0.0005020291943420641,0.17837960462137328,0.183312246252509,0.004932641631135715,4,4.2065166666666505,72.38809523809523,84.93965986394558,12.551564625850347,0.3224627925198922,0.0010943283490316594,23.408500337670734,0.01896666666666494,-0.10784380305602781,-0.00016934321776416122,-0.00024328009613885083
1,1,phase2,round_3,1,D1_4,D1_4_Team10,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.5146886086023262e-06,4.501522653344777e-07,0.29719129250589277,0.0010228692460528958,-0.0003154539674140684,0.16842819308320095,0.17127157620927438,0.0028433831260734344,3,-0.4850833333333409,77.89044585987261,75.19101910828024,-2.6994267515923696,0.12617245665315152,0.00038525394871863263,20.378015128573413,0.028383333333334215,0.06133757961783459,0.0003948332436327281,0.00014858438644068278
2,1,phase1,round_3,1,D1_4,D1_4_Team10,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,9.870144539347109e-07,2.771143073381565e-07,0.28076013095192937,6.0416866184194885e-05,-0.0005043401387825317,0.1660518911657226,0.1665216564510116,0.00046976528528899775,3,-0.3590500000000168,78.86738461538461,77.48503816793894,-1.38234644744567,0.2139653099129711,0.0004569437906340284,56.70705719649428,-0.0624666666666725,-0.12120153550863222,-0.00020347575478735748,-0.00022328613655420607
3,1,phase3,round_2,1,D1_4,D1_4_Team10,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,7.704796395916004e-06,5.948255380397033e-07,0.07720198010099215,-0.001582349511667911,-0.00022165828498130858,0.16177739063146684,0.15706159245073953,-0.004715798180727315,3,1.7331833333333249,83.12906666666667,83.01867549668874,-0.1103911699779303,0.31846611541366,0.0014262653357934856,7.9968372237377165,0.22055833333332928,0.6067661691542305,-0.0003398322887549912,0.0009098617170022624
4,1,phase2,round_2,1,D1_4,D1_4_Team10,2.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,6.279904790990889e-06,9.288957505075658e-07,0.14791557856739382,0.0038398509710051596,-0.0002999695151697787,0.14628549140334476,0.15579625648684367,0.009510765083498907,6,-1.709866666666667,74.257625,70.30487500000001,-3.9527499999999947,0.1560001607586987,0.0006852765253641894,26.095208759680702,-0.0705500000000049,-0.20090624999999562,-0.00016795430476229905,-0.00028624409026737724
5,1,phase1,round_2,1,D1_4,D1_4_Team10,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,5.050118805332442e-07,2.561389086027297e-07,0.507193827464557,0.0006139238214139873,-0.00019247170005655628,0.13705870628976757,0.13751138035077412,0.00045267406100654717,4,-4.052033333333345,88.19086092715231,82.58217105263158,-5.608689874520735,0.49861596524249197,0.0011500011846013103,48.3229209105312,0.08759999999999692,0.11507438016529647,0.00026545599749996414,0.00041841805406969815
6,1,phase3,round_4,1,D1_4,D1_4_Team10,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0025411178664126784,0.00019989257090655046,0.07866324248419881,0.19280414841538532,-0.00043683497448415557,0.2740056126134573,0.8275287280604735,0.5535231154470162,10,0.02433333333333132,66.01733766233765,64.71798701298701,-1.299350649350643,0.1847182906632081,0.00036793643924905176,74.97614194115218,0.047249999999994866,0.09943316003284153,0.00031528325144531723,0.00021694672885390516
7,1,phase2,round_4,1,D1_4,D1_4_Team10,0.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,2.042451629000439e-06,1.912743137498121e-06,0.9364937266270554,0.0005840458150299511,-0.00036799042678049745,0.1878264223759286,0.1886379532852037,0.0008115309092751044,5,2.4477166666666634,72.1143949044586,80.94310126582279,8.828706361364183,0.24571033124185246,0.0008359887725711023,36.96268296161872,-0.010783333333336479,0.011047619047623414,0.0005812600913210411,-3.429437426321123e-06
8,1,phase1,round_4,1,D1_4,D1_4_Team10,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,9.071952306509083e-07,2.995608522603048e-07,0.3302054972724794,0.001360600382992323,-0.0003572858377439267,0.18746900435633956,0.19152075990691653,0.004051755550576963,4,-1.8713000000000073,73.40464052287581,67.98692810457516,-5.417712418300653,0.17138586509423187,0.0008599210272969308,17.4657597382051,0.030699999999996147,0.08018427195405664,0.0002052813416899762,0.00010087613157023711
9,1,phase3,round_1,1,D1_4,D1_4_Team10,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,4.0,5.954633223119264e-07,1.6093763913973412e-07,0.27027296746822776,0.0007224793354852526,-0.00024158791977314654,0.12764014965129927,0.12929278210404413,0.0016526324527448566,3,-2.576583333333338,81.5681045751634,74.215,-7.3531045751634,0.18823223036722375,0.0005282846245102973,38.34832134030937,-0.20786666666666737,-0.5626254709311347,-0.0001143075400613568,-0.0008540532462993905
